hora_do_dia,media_passageiros
0,1.4104394767201411
1,1.4191514624479489
2,1.4356625258799172
3,1.4332556393947773
4,1.387454981992797
5,1.2648380355276907
6,1.2352757088314452
7,1.252334327249466
8,1.2644841990555757
9,1.2825327452011925
10,1.3176603301123722
11,1.3330373810499476
12,1.3470199935521718
13,1.3539955151853345
14,1.3593515062112538
15,1.3710238499429495
16,1.3695193880340455
17,1.362384657907046
18,1.3581014992383549
19,1.368193008370261
20,1.3799440812591324
21,1.4003577817531305
22,1.4100182630198093
23,1.4055888058207524
